Job,2015,2014,2013,2012,2011,Industry
Sales and office occupations,34996,34632,34268,34060,33176,Sales and office occupations
Sales and related occupations,37232,36660,36816,35828,34840,Sales and related occupations
First-line supervisors of retail sales workers,36972,36192,36868,36972,35152,Sales and related occupations
First-line supervisors of non-retail sales workers,53456,50388,50960,54340,49452,Sales and related occupations
Cashiers,21580,20488,20384,19552,19916,Sales and related occupations
Counter and rental clerks,30888,28444,31824,25740,31356,Sales and related occupations
Parts salespersons,31252,32084,34476,33436,31720,Sales and related occupations
Retail salespersons,30680,30992,31096,29952,28340,Sales and related occupations
Advertising sales agents,48100,48984,48776,47268,46436,Sales and related occupations
Insurance sales agents,42380,39780,43576,43004,41964,Sales and related occupations
"Securities, commodities, and financial services sales agents",60060,58344,58188,58812,59488,Sales and related occupations
Travel agents,36972,,,,,Sales and related occupations
"Sales representatives, services, all other",50232,49296,49296,48620,46124,Sales and related occupations
"Sales representatives, wholesale and manufacturing",53040,52780,54184,55328,51532,Sales and related occupations
"Models, demonstrators, and product promoters",,,,,,Sales and related occupations
Real estate brokers and sales agents,43524,44304,42068,41028,42224,Sales and related occupations
Sales engineers,,,,,,Sales and related occupations
Telemarketers,,27352,,24128,21424,Sales and related occupations
"Door-to-door sales workers, news and street vendors, and related workers",,,,,27352,Sales and related occupations
"Sales and related workers, all other",47632,41964,47580,40820,40612,Sales and related occupations
Office and administrative support occupations,34112,33852,33176,33436,32396,Office and administrative support occupations
First-line supervisors of office and administrative support workers,42224,42016,40144,41340,39728,Office and administrative support occupations
Bill and account collectors,34164,32188,31148,33280,31616,Office and administrative support occupations
Billing and posting clerks,34164,33384,33124,32604,31564,Office and administrative support occupations
"Bookkeeping, accounting, and auditing clerks",35984,34580,35204,35204,34060,Office and administrative support occupations
Payroll and timekeeping clerks,39364,39364,38012,36504,36920,Office and administrative support occupations
Tellers,26728,26520,25688,25844,25584,Office and administrative support occupations
"Financial clerks, all other",39884,39104,35672,,41236,Office and administrative support occupations
"Court, municipal, and license clerks",39260,38376,35152,36348,39676,Office and administrative support occupations
Customer service representatives,32292,32604,32292,31616,30576,Office and administrative support occupations
"Eligibility interviewers, government programs",40612,40716,40456,39988,32864,Office and administrative support occupations
File clerks,32968,31720,32500,33540,32032,Office and administrative support occupations
"Hotel, motel, and resort desk clerks",25012,22152,21736,27144,21996,Office and administrative support occupations
"Interviewers, except eligibility and loan",31980,33072,32292,30836,28392,Office and administrative support occupations
Loan interviewers and clerks,36920,36920,37388,35984,36712,Office and administrative support occupations
Order clerks,31148,31200,30316,29172,30472,Office and administrative support occupations
"Human resources assistants, except payroll and timekeeping",38324,39208,45604,39468,,Office and administrative support occupations
Receptionists and information clerks,29900,28080,27872,27612,27040,Office and administrative support occupations
Reservation and transportation ticket agents and travel clerks,37076,35724,36348,38376,33748,Office and administrative support occupations
"Information and record clerks, all other",32136,34320,36920,34372,38688,Office and administrative support occupations
Couriers and messengers,39104,37804,32448,38324,38688,Office and administrative support occupations
Dispatchers,36296,36920,35152,33696,33852,Office and administrative support occupations
Postal service clerks,48204,50856,50336,50960,50856,Office and administrative support occupations
Postal service mail carriers,49608,50232,50128,51480,50908,Office and administrative support occupations
"Postal service mail sorters, processors, and processing machine operators",43056,50908,45396,46332,47736,Office and administrative support occupations
"Production, planning, and expediting clerks",43576,43524,38740,44616,42224,Office and administrative support occupations
